AQP4	GAD1	NEUROD2	NEUROD2_GAD1	PAX6	PAX6_AQP4	PAX6_GAD1	PAX6_NEUROD2	PAX6_NEUROD2_GAD1	PDGFRA	PDGFRA_GAD1	PDGFRA_NEUROD2	PTPRC	PTPRC_NEUROD2
IKBKB	15	216	2916	519	1057	257	3	934	78	324	30	157	261	6
IKBKE	0	4	30	104	147	0	0	8	0	3	0	2	206	0
IKBKG	48	322	2669	316	548	123	34	854	31	183	43	150	78	131
IKZF1	0	8	303	68	35	0	0	11	0	2	0	3	898	156
IKZF2	0	111	1363	164	164	39	1	597	6	78	6	1	18	63
IKZF3	10	95	488	93	81	5	3	204	2	5	58	107	8	6
IKZF4	154	1176	5929	1493	1303	172	77	1236	98	315	62	151	230	121
IKZF5	5	620	3697	384	978	32	11	1074	5	380	71	212	57	92
IL10	2	6	42	9	7	0	1	9	3	3	1	3	164	0
IL10RA	0	6	299	38	14	2	1	67	0	6	1	1	615	174
IL10RB	42	674	3303	575	942	37	4	1009	7	304	50	227	460	155
IL10RB-AS1	0	103	162	40	104	1	0	67	0	59	8	28	148	65
IL11	0	5	113	255	11	6	0	123	0	2	0	6	2	0
IL11RA	1	130	1585	356	1446	208	78	1224	7	110	136	157	11	25
IL12A	134	18	332	2	218	244	0	57	1	0	39	0	1	0
IL12A-AS1	0	1	5	5	0	0	0	0	0	0	0	1	0	0
IL12B	0	0	9	2	0	0	27	1	0	0	0	0	23	0
IL12RB1	8	6	69	32	24	3	1	30	4	8	8	9	17	3
IL12RB2	57	0	140	126	0	0	1	37	0	0	0	5	0	2
IL13	0	0	7	0	0	0	0	0	0	0	0	0	0	0
IL13RA1	4	84	642	83	148	0	0	105	1	3	0	3	1628	229
IL13RA2	1	173	226	190	4	1	0	718	0	41	0	10	0	3
IL15	0	1	5	1	1	0	0	1	0	0	0	0	0	40
IL15RA	0	0	57	4	1	0	0	1	0	0	0	0	0	0
IL16	1	16	564	44	7	2	0	219	2	2	3	4	654	148
IL17A	0	0	0	0	0	0	0	0	0	0	4	0	0	0
IL17B	0	100	0	0	2	0	0	0	0	0	0	0	0	0
IL17C	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IL17D	162	141	2061	122	277	221	0	462	100	126	1	5	2	12
IL17F	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IL17RA	0	158	485	96	312	1	1	169	0	7	1	47	492	101
IL17RB	73	327	726	113	599	273	110	370	2	1187	232	268	204	73
IL17RC	1	72	220	23	169	111	29	179	0	1	0	0	40	1
IL17RD	114	980	7733	1421	1754	449	39	2953	24	391	18	169	34	66
IL17RE	0	1	2	1	0	0	0	0	0	0	0	0	0	0
IL17REL	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IL18	1	10	60	5	20	0	0	8	0	0	0	2	89	21
IL18BP	8	76	74	18	3	0	0	113	0	0	0	20	16	0
IL18R1	0	2	14	4	0	0	0	8	0	0	0	0	0	0
IL18RAP	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IL19	0	0	18	14	0	0	0	0	0	0	0	0	0	1
IL1A	0	1	32	2	0	0	0	0	1	0	0	1	19	1
IL1B	1	9	199	44	63	3	0	62	1	1	4	5	404	1364
IL1F10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IL1R1	0	42	21	8	7	1	0	66	0	1	0	2	0	3
IL1R2	0	1	10	36	0	0	1	24	0	1	0	0	0	0
IL1RAP	0	62	1296	168	98	54	1	115	1	473	175	261	116	135
IL1RAPL1	0	46	296	73	210	17	14	199	0	37	7	4	0	0
IL1RAPL2	0	12	269	0	1	0	0	0	0	2	0	7	4	0
IL1RL1	0	0	4	0	0	0	0	1	0	0	0	0	0	0
IL1RL2	1	0	111	0	18	0	0	0	0	0	0	0	1	0
IL1RN	0	0	24	1	87	0	0	25	0	1	9	0	27	1
IL2	0	0	27	0	0	0	0	0	0	0	0	0	0	0
IL20	0	0	1	8	0	0	0	0	0	0	0	0	0	0
IL20RA	0	0	1	0	2	0	0	0	0	0	0	0	1	0
IL20RB	0	33	159	2	51	0	0	3	0	1	0	1	0	0
IL21	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IL21-AS1	0	0	0	15	0	0	0	0	0	0	0	0	0	0
IL21R	0	85	65	3	0	0	0	17	0	0	0	0	76	1
IL21R-AS1	0	15	191	59	10	0	0	132	1	0	0	0	0	0
IL22	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IL22RA1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IL22RA2	0	0	1	0	0	0	0	0	0	0	0	0	0	0
IL23A	1	0	14	9	2	0	0	0	0	1	0	1	191	0
IL23R	0	3	51	1	32	0	0	117	0	0	3	0	0	2
IL24	0	0	0	0	0	0	0	57	0	0	0	0	0	0
IL25	0	0	0	0	1	0	0	0	0	0	0	0	0	0
IL26	0	1	0	0	4	0	0	0	0	0	2	0	0	0
IL27	0	0	0	0	0	0	0	3	0	0	0	12	0	41
IL27RA	194	174	1318	295	55	21	0	197	0	43	25	0	0	13
IL2RA	0	3	4	1	2	0	0	3	0	0	0	0	0	0
IL2RB	0	0	4	1	16	0	0	1	0	0	0	0	2	0
IL2RG	1	0	30	9	3	0	0	0	0	2	1	1	1	1
IL3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IL31	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IL31RA	0	1	20	2	4	0	0	3	1	0	0	0	7	0
IL32	1	12	194	22	15	0	56	21	0	19	0	2	1	0
IL33	279	47	637	14	722	359	4	436	180	2	48	42	0	1
IL34	1	140	568	41	78	27	0	306	4	0	0	0	30	4
IL36A	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IL36B	0	0	0	0	0	0	0	83	0	0	0	0	0	0
IL36G	0	0	0	0	8	0	0	0	0	0	0	0	0	0
IL36RN	0	0	0	0	2	0	0	39	0	0	0	0	0	0
IL37	0	0	0	0	0	9	0	0	0	0	0	0	0	0
IL3RA	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IL4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IL4I1	1	145	40	27	28	0	0	28	0	0	0	0	338	1
IL4R	0	22	23	2	6	0	0	4	0	1	0	0	236	27
IL5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IL5RA	0	3	389	28	0	0	0	28	159	2	0	0	0	59
IL6	0	1	2	0	1	0	0	0	0	0	0	0	0	0
IL6R	1	14	192	64	79	3	1	54	0	8	2	8	1668	682
IL6ST	352	532	1891	536	1118	533	1	1351	173	185	58	154	1823	488
IL7	1	16	769	15	0	0	0	30	10	0	1	0	0	111
IL7R	0	5	86	3	50	0	0	0	0	1	1	0	121	53
IL9	0	0	81	0	1	0	0	0	0	0	0	0	0	0
IL9R	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ILDR1	0	0	19	71	7	0	0	2	0	0	0	1	2	0
ILDR2	9	36	571	147	443	6	0	96	0	47	0	3	1	37
ILF2	709	6877	75834	7305	26775	1258	1270	21617	625	5000	795	1915	1816	716
ILF3	334	7293	52976	9405	18113	668	460	20092	1047	2576	873	2063	1086	943
ILF3-AS1	89	2293	13385	1940	4901	33	169	4074	51	964	282	280	211	134
ILK	366	942	5949	1018	3371	841	20	2051	35	476	113	339	789	98
ILKAP	143	1381	11994	1360	3882	286	242	3507	216	551	364	596	312	624
ILVBL	121	1214	7083	620	2972	436	125	2294	136	1208	77	155	61	140
IMMP1L	18	133	1391	267	691	40	2	569	7	95	3	157	41	4
IMMP2L	3	116	2875	221	1264	135	3	824	1	331	24	180	137	9
IMMT	298	2446	14129	1389	5731	404	276	4573	367	678	182	510	997	258
IMP3	380	3133	30900	1984	7712	1107	126	8436	125	1645	456	716	600	383
IMP4	5	852	5920	817	2415	331	13	2346	69	405	35	107	509	51
IMPA1	111	225	3927	415	1187	366	109	1405	9	116	0	131	86	39
IMPA2	2	68	323	23	500	62	0	485	270	98	1	2	169	1
IMPACT	124	446	2937	466	2117	225	9	1324	68	834	140	79	337	198
IMPAD1	189	508	5792	1440	767	454	117	2225	81	343	66	223	227	332
IMPDH1	28	404	6963	1414	1056	180	9	1892	141	68	291	437	202	288
IMPDH2	235	2423	19071	2855	6205	723	472	7055	407	1596	258	805	285	247
IMPG1	0	99	49	1	0	0	0	1	0	0	0	0	0	1
IMPG2	0	144	238	82	1	0	0	66	0	0	1	20	0	1
INA	437	9987	41569	9840	2403	546	682	8874	637	963	484	1904	699	1103
INADL	0	232	2946	709	321	10	37	791	7	265	38	148	1	8
INAFM1	154	623	5079	1741	884	59	0	1411	87	219	219	467	424	89
INAFM2	148	45	1583	206	128	83	3	958	0	170	0	2	154	41
INCA1	8	22	701	17	81	1	0	224	0	0	1	16	52	3
INCENP	0	24	368	54	141	1	0	207	0	6	0	1	4	7
INE1	2	0	396	22	26	0	0	23	0	0	87	0	0	1
INE2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
INF2	38	231	2422	1348	838	18	42	843	7	191	11	160	184	157
ING1	21	511	3183	855	1458	143	36	1390	0	439	78	212	63	298
ING2	97	305	4597	762	1487	293	263	1529	42	185	8	19	173	11
ING3	120	1057	6258	803	3350	171	28	2168	123	475	48	226	271	65
ING4	634	5352	35199	3161	7777	442	486	8652	54	1333	463	748	346	120
ING5	17	608	4928	1520	2103	46	2	1662	7	266	154	160	87	72
INGX	0	4	60	22	5	0	0	26	0	0	1	6	0	0
INHA	80	74	343	150	229	65	1	302	2	21	1	63	0	3
INHBA	0	37	1546	616	167	43	4	46	214	1	1	71	1	48
INHBA-AS1	0	121	68	513	41	0	0	132	40	0	0	1	6	172
INHBB	132	53	1419	334	735	102	0	987	1	101	126	20	26	73
INHBC	0	0	2	0	0	0	0	13	0	0	0	0	13	0
INHBE	0	0	13	0	29	0	0	0	0	0	0	0	0	0
INIP	0	988	9225	1018	3094	226	294	3175	71	320	158	130	20	109
INMT	218	2215	13196	3700	2780	289	196	5124	321	988	251	593	392	485
INMT-FAM188B	0	0	0	0	0	0	0	0	0	0	0	0	0	0
INO80	275	315	3700	1233	839	19	106	1155	4	403	196	211	178	113
INO80B	2	11	159	14	25	1	0	69	2	3	0	5	0	12
INO80B-WBP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
INO80C	29	386	3091	463	1262	112	89	1122	23	260	28	73	354	215
INO80D	152	723	8399	1745	1740	278	222	2456	134	267	213	233	326	232
INO80E	6	125	484	45	183	27	3	126	6	17	10	99	13	4
INPP1	187	640	5696	622	1138	341	1	1091	2	225	268	196	242	155
INPP4A	18	910	5151	1153	947	57	50	1468	18	249	166	675	305	118
INPP4B	191	3	79	6	53	110	13	16	0	1	0	0	174	34
INPP5A	7	122	1914	170	272	16	2	962	0	56	0	67	7	14
INPP5B	6	726	2349	448	311	217	88	839	33	22	10	32	565	26
INPP5D	1	10	372	155	13	1	1	57	1	4	1	0	1190	359
INPP5E	13	259	3757	1025	532	218	118	1338	223	153	38	221	5	164
INPP5F	254	1944	16419	3220	3398	103	162	5471	166	807	212	808	111	352
INPP5J	2	305	882	271	27	3	45	361	0	61	0	57	1	79
INPP5K	193	1256	6354	1028	1534	141	24	2254	97	242	45	138	85	169
INPPL1	157	94	828	14	828	70	22	503	39	28	14	127	490	183
INS	0	0	11	0	0	1	0	0	0	0	0	0	0	0
INS-IGF2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
INSC	2	4	30	6	8	0	0	12	0	1	0	1	0	0
INSIG1	966	1445	20420	1763	6435	934	58	5567	157	807	107	616	141	280
INSIG2	213	241	3297	279	1065	245	23	1334	47	273	19	278	673	98
INSL3	0	0	2	0	0	0	0	0	0	0	0	0	0	0
INSL4	1	1	88	0	7	0	0	9	0	0	0	0	1	0
INSL5	0	0	67	0	0	0	0	0	0	0	0	0	0	0
INSL6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
INSM1	4	488	3793	540	1845	6	241	1949	48	113	0	163	13	37
INSM2	0	0	81	0	47	1	0	103	0	1	0	0	0	0
INSR	20	1082	7960	1258	1066	481	3	2237	358	139	38	432	219	235
INSRR	0	1	22	34	55	0	0	7	0	0	0	1	0	0
INTS1	177	1414	12578	2726	2127	162	122	4057	87	128	258	499	577	361
INTS10	67	1833	10660	1368	1933	238	36	2737	145	816	276	779	323	316
INTS12	113	1270	12869	1554	2276	579	104	2411	64	298	32	252	345	41
INTS2	1	192	1971	522	930	184	14	1153	16	83	13	40	70	3
INTS3	92	654	3763	1220	1022	134	45	964	69	330	53	126	513	10
INTS4	70	817	5652	556	1656	215	32	1401	65	338	103	47	92	27
INTS4P2	0	3	7	11	0	0	0	0	0	0	0	0	0	0
INTS5	34	231	2209	123	960	84	2	709	128	93	97	101	254	69
INTS6	13	287	2863	489	980	12	37	1129	28	152	36	151	125	4
INTS6-AS1	0	136	631	80	479	134	0	231	37	1	0	1	1	22
INTS7	35	623	3558	805	1529	151	82	1451	202	419	99	74	13	62
INTS8	80	285	2371	446	821	147	33	681	66	218	0	47	27	12
INTS9	134	678	2198	452	507	124	6	721	19	236	18	25	166	0
INTU	377	1486	12179	1655	5998	794	118	4487	262	613	64	548	314	291
INVS	0	4	1474	213	446	33	0	475	0	36	1	96	69	2
IP6K1	89	927	7967	1830	1851	121	221	2066	258	310	103	519	168	154
IP6K2	771	13378	66880	7620	17321	1789	929	16927	806	3384	1240	1572	1156	543
IP6K3	0	0	1	0	0	0	0	66	0	0	0	0	0	0
IPCEF1	16	155	1782	419	723	18	0	380	7	42	1	4	683	257
IPMK	1	431	2224	354	812	17	3	675	15	127	1	10	82	81
IPO11	97	124	387	90	287	0	3	82	0	61	3	0	0	11
IPO11-LRRC70	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IPO13	39	691	3557	608	865	198	68	966	27	135	18	155	136	181
IPO4	0	33	1478	123	531	69	0	523	1	40	43	86	0	1
IPO5	240	1689	13770	2482	3309	415	52	5103	60	1042	89	679	352	265
IPO5P1	99	231	3776	513	1468	96	16	1308	14	223	18	146	89	59
IPO7	203	741	12726	3024	3105	247	117	3932	112	808	325	556	313	284
IPO8	7	305	3530	384	801	79	2	1641	1	142	17	175	651	16
IPO9	596	3123	19268	5310	6505	693	323	7926	675	1030	396	742	246	280
IPO9-AS1	0	7	41	7	82	0	0	95	0	34	1	0	40	0
IPP	60	267	1886	234	1104	72	7	616	57	24	20	75	42	158
IPPK	0	2	103	249	26	0	0	70	0	14	0	0	0	0
IPW	112	443	5311	1167	907	19	85	2224	243	315	22	105	5	11
IQCA1	5	255	762	63	80	1	12	197	0	93	57	0	0	1
IQCA1L	0	0	0	0	13	0	0	0	0	0	0	0	0	0
IQCB1	52	704	3965	880	1304	45	69	1275	154	178	56	198	74	106
IQCC	1	208	955	186	550	13	44	419	1	65	0	19	19	32
IQCD	1	41	703	34	377	44	1	211	2	6	0	9	6	36
IQCE	330	383	5641	1470	1138	195	374	1217	45	111	274	378	55	297
IQCF1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IQCF2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IQCF3	0	0	25	0	0	0	0	1	0	0	0	0	0	0
IQCF4	0	0	0	1	0	0	0	0	0	0	0	0	0	0
IQCF5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IQCF5-AS1	0	0	12	0	0	0	0	0	0	0	0	0	0	0
IQCF6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IQCG	53	323	3055	706	660	110	0	754	108	428	41	215	11	53
IQCH	0	61	40	30	10	0	0	69	0	1	0	0	41	1
IQCH-AS1	0	151	456	8	317	24	1	167	0	4	3	2	31	18
IQCJ	0	0	150	0	0	0	0	0	0	0	0	0	0	0
IQCJ-SCHIP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IQCJ-SCHIP1-AS1	0	0	1	0	27	0	0	0	0	0	0	0	0	0
IQCK	548	991	4634	1074	2140	374	53	1662	26	494	65	323	24	23
IQGAP1	59	439	2495	500	1830	124	14	1580	1	150	18	211	289	142
IQGAP2	402	203	1424	20	1837	603	1	2357	61	310	8	0	5	21
IQGAP3	0	9	225	12	182	53	3	484	7	273	9	6	80	21
IQSEC1	315	1337	4937	1536	2618	367	166	2353	172	317	14	341	100	159
IQSEC2	3	6	406	300	172	0	1	132	18	19	1	175	66	3
IQSEC3	15	245	1869	930	481	7	5	403	1	8	21	158	5	118
IQUB	17	5	423	0	7	0	0	80	0	2	116	0	0	0
IRAIN	7	0	243	41	98	0	0	103	0	0	1	0	1	0
IRAK1	43	439	3803	721	663	85	31	1578	6	38	26	153	712	180
IRAK1BP1	0	143	1856	222	515	135	0	515	77	121	11	42	2	1
IRAK2	11	9	264	31	17	0	0	32	3	2	0	5	98	38
IRAK3	2	112	437	252	100	1	14	60	1	10	1	3	171	57
IRAK4	76	82	1176	196	401	92	4	426	12	202	8	112	132	278
IREB2	75	1190	9045	2241	1729	138	56	3388	76	466	172	160	216	324
IRF1	7	25	490	66	91	43	0	60	175	112	2	20	287	54
IRF2	72	36	1241	408	1054	129	31	358	50	166	19	84	289	23
IRF2BP1	12	40	706	84	55	0	22	342	1	39	14	35	26	26
IRF2BP2	169	2541	13247	1695	4466	489	35	6601	311	1258	93	429	1012	481
IRF2BPL	13	521	5471	1297	890	71	112	1740	15	310	48	146	30	300
IRF3	137	150	3002	656	1468	375	53	1282	1	605	101	284	451	344
IRF4	0	0	7	0	11	0	0	2	0	43	0	0	17	0
IRF5	0	2	253	43	2	0	0	14	0	0	0	0	370	263
IRF6	2	6	95	40	20	0	0	11	0	12	0	0	34	0
IRF7	173	18	2122	158	599	26	14	558	2	13	141	2	101	1
IRF8	18	17	453	22	69	1	1	41	0	1	0	2	1980	512
IRF9	138	264	822	76	426	100	2	481	0	94	5	160	248	26
IRG1	0	0	0	0	0	0	0	0	0	0	0	31	0	0
IRGC	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IRGM	0	17	66	9	16	0	1	17	0	0	0	0	1	0
IRGQ	193	795	13974	2672	2018	305	186	4155	370	359	305	475	123	101
IRS1	2	617	2576	311	612	78	145	1016	26	239	29	79	103	258
IRS2	192	944	8295	1427	1231	155	4	2551	72	416	84	279	216	406
IRS4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IRX1	0	1	34	1	2	0	2	0	0	17	0	35	0	2
IRX2	40	0	96	0	2	0	0	4	0	84	0	0	0	2
IRX3	0	0	2	3	1	0	0	0	0	0	0	0	0	0
IRX4	0	76	0	1	0	0	0	0	0	0	0	0	0	0
IRX5	0	0	0	0	0	0	0	0	0	0	0	1	0	0
IRX6	0	0	1	0	0	0	0	0	0	1	0	0	0	0
ISCA1	308	1943	15571	2478	3701	68	147	5230	131	713	301	473	531	224
ISCA2	290	2250	10684	1034	6379	876	106	4193	366	870	158	430	420	299
ISCU	297	2938	21149	1785	5845	893	377	5425	15	2373	285	496	1071	507
ISG15	3	159	1209	443	470	2	1	514	0	162	96	65	108	55
ISG20	1	0	141	31	2	0	0	2	0	2	0	1	1	1
ISG20L2	89	1107	10146	1419	2232	269	112	2324	22	336	232	746	276	61
ISL1	0	1	5	0	2	0	0	1	0	0	0	0	0	0
ISL2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ISLR	0	0	13	10	87	2	0	12	0	0	0	1	0	0
ISLR2	49	140	2803	588	237	85	4	780	47	183	9	111	47	146
ISM1	0	31	60	25	1	0	0	1	0	2	0	0	0	0
ISM1-AS1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ISM2	0	2	33	1	11	1	0	73	0	3	0	43	0	0
ISOC1	84	422	2773	820	1464	202	19	1334	34	429	47	187	62	127
ISOC2	55	538	1328	86	434	58	0	417	1	107	1	67	31	1
ISPD	3	62	852	100	64	22	0	373	0	5	0	0	2	0
ISPD-AS1	0	96	154	153	0	0	0	48	0	0	0	10	0	1
IST1	478	3430	27588	3575	9549	714	447	7975	486	1431	681	703	1188	460
ISX	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ISY1	291	1529	10827	830	3574	218	112	2414	128	993	394	168	366	198
ISY1-RAB43	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ISYNA1	222	1034	23791	3397	8369	377	259	7055	340	999	260	990	389	416
ITCH	77	506	5182	899	1299	244	25	1944	1	150	166	161	129	133
ITFG1	192	1840	17667	2449	3490	452	162	3771	294	1029	227	834	498	623
ITFG1-AS1	0	0	3	0	57	0	0	0	0	0	0	0	0	0
ITFG2	0	572	2991	351	1083	243	0	1299	3	331	42	187	73	105
ITFG3	470	1425	7577	2162	2779	272	213	2890	171	594	160	833	387	239
ITGA1	0	4	126	27	28	0	0	75	1	114	0	0	0	2
ITGA10	138	200	1397	689	241	102	21	330	7	206	7	138	38	188
ITGA11	0	0	93	27	8	0	0	90	0	0	0	0	0	1
ITGA2	24	184	2224	40	3989	356	2	1959	62	30	30	5	85	4
ITGA2B	15	54	374	46	134	1	3	101	12	13	0	22	0	0
ITGA3	2	252	1446	379	248	180	0	395	0	128	0	69	3	2
ITGA4	0	44	37	523	20	0	0	12	1	23	0	0	0	0
ITGA5	84	37	591	6	351	91	5	58	0	8	0	138	207	106
ITGA6	94	207	1061	114	1511	360	33	1399	150	173	1	9	39	1
ITGA7	133	3	804	94	422	407	3	452	0	7	10	69	0	21
ITGA8	1	6	223	25	149	0	0	37	0	17	0	91	5	0
ITGA9	1	24	211	18	30	37	0	13	2	80	0	0	23	26
ITGA9-AS1	3	6	853	42	44	0	0	140	80	0	0	0	1	0
ITGAD	0	0	12	0	0	0	0	9	0	0	0	0	0	0
ITGAE	292	2015	16284	1832	7537	796	118	5923	534	1627	242	373	463	213
ITGAL	0	8	98	48	8	0	0	14	0	2	0	7	22	235
ITGAM	0	5	252	10	3	0	0	9	1	1	0	1	901	64
ITGAV	168	182	4731	506	1478	486	44	1366	87	586	224	385	769	384
ITGAX	5	29	643	128	59	5	5	123	6	9	8	10	980	339
ITGB1	448	1611	11819	1224	7455	727	13	5320	186	1262	142	552	1206	483
ITGB1BP1	368	2241	23499	3105	8684	1239	308	6974	413	1121	329	777	371	340
ITGB1BP2	0	39	265	67	387	3	0	22	0	1	44	0	0	0
ITGB2	3	28	933	104	117	6	2	133	0	11	1	11	3654	1342
ITGB2-AS1	0	7	59	8	10	0	0	6	0	1	0	1	161	7
ITGB3	0	0	176	0	0	0	0	21	0	0	2	11	1	0
ITGB3BP	30	1222	6083	407	5850	63	78	3121	260	972	6	134	286	38
ITGB4	0	9	95	88	22	0	0	15	0	0	0	0	0	0
ITGB5	165	11	520	49	1357	82	48	385	2	193	69	8	509	245
ITGB6	0	0	27	0	1	0	0	39	0	0	0	0	0	0
ITGB7	0	0	5	0	0	0	0	0	0	0	0	0	4	0
ITGB8	872	1858	19585	1525	20839	3304	174	12310	543	6452	642	1770	602	333
ITGBL1	0	220	470	342	11	0	0	100	0	5	4	8	0	8
ITIH1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ITIH2	0	17	66	25	1	0	0	22	0	14	0	1	1	2
ITIH3	0	0	33	12	0	0	0	19	0	0	0	0	0	0
ITIH4	1	12	1463	317	84	107	4	275	31	1	0	153	63	44
ITIH4-AS1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ITIH5	6	85	465	282	805	4	6	173	5	532	33	40	62	2
ITIH6	0	0	151	0	0	0	0	13	0	0	0	0	0	0
ITK	0	0	0	0	0	0	0	0	0	0	0	0	7	0
ITLN1	0	1	2	0	0	0	0	0	0	0	0	0	0	0
ITLN2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ITM2A	3	956	5491	1283	389	84	115	1453	74	1606	105	524	47	2
ITM2B	3247	8546	47643	6721	19978	7463	1064	14328	721	7960	1629	2989	27155	5178
ITM2C	1415	1724	9294	1902	5926	4412	213	3875	63	2632	883	1388	2164	485
ITPA	149	2386	21332	2590	5792	1046	268	4863	149	1699	679	775	1139	511
ITPK1	212	986	8521	1308	1958	225	43	2880	60	508	258	310	1210	146
ITPK1-AS1	0	20	314	101	120	0	0	170	0	7	57	8	0	1
ITPKA	0	2	129	3	388	0	0	72	0	364	0	113	0	0
ITPKB	7	55	735	185	619	291	1	550	1	323	21	55	91	84
ITPKB-IT1	0	0	71	0	0	0	0	2	0	0	0	0	0	0
ITPKC	36	262	960	407	358	1	7	386	1	26	55	94	22	2
ITPR1	126	376	7134	1833	331	79	8	1457	23	65	32	453	70	293
ITPR1-AS1	0	101	586	96	121	0	8	40	0	10	0	14	0	84
ITPR2	468	1136	6420	872	924	1531	197	1934	29	745	31	298	1152	619
ITPR3	0	6	699	146	1	0	0	88	9	18	4	6	0	0
ITPRIP	0	225	876	191	625	0	20	683	3	94	9	3	70	113
ITPRIPL1	0	0	60	2	101	2	0	44	0	0	0	0	0	0
ITPRIPL2	0	37	337	61	52	49	64	307	0	19	1	2	190	125
ITSN1	496	3913	32028	4419	4088	999	346	7520	568	588	218	965	491	495
ITSN2	225	467	6692	1488	1468	274	7	1370	6	780	63	168	659	151
IVD	476	1076	8397	1463	4284	889	187	2937	109	1090	139	437	675	421
IVL	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IVNS1ABP	406	2321	27178	3319	12542	496	285	10599	242	1067	515	931	430	542
IWS1	360	2152	12274	1558	2934	461	1	4612	63	326	322	188	137	282
IYD	0	1	65	4	1	0	0	13	0	0	0	2	1	4
IZUMO1	0	0	114	62	0	1	0	1	0	23	0	1	5	0
IZUMO1R	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IZUMO2	0	0	23	1	27	0	0	0	0	0	0	1	0	0
IZUMO3	0	0	23	0	0	0	0	0	0	0	0	0	0	0
IZUMO4	31	5	47	4	1	8	11	6	0	0	0	0	2	0
JADE1	250	1845	8949	1492	5246	497	173	3911	465	602	50	490	262	313
JADE2	0	4	402	158	38	1	0	141	1	48	0	39	58	3
JADE3	0	147	982	283	357	0	2	327	0	89	16	2	0	1
JAG1	3	292	1783	70	915	191	9	558	165	129	4	200	375	84
JAG2	41	493	5874	2060	491	113	26	1314	20	109	22	645	76	661
JAGN1	217	1063	9685	707	3791	537	234	2842	5	834	217	292	435	90
JAK1	253	1294	8097	1104	2411	1083	286	2719	73	758	48	395	1185	326
JAK2	1	245	738	193	373	14	34	179	1	148	2	64	225	30
JAK3	0	42	309	44	19	0	0	155	2	48	1	9	198	150
JAKMIP1	57	299	6168	1517	459	15	29	723	15	201	45	146	49	112
JAKMIP2	137	4180	21877	5357	4638	1212	253	6205	169	1052	280	937	786	364
JAKMIP2-AS1	0	52	519	152	222	0	0	133	1	1	0	133	4	26
JAKMIP3	17	144	1082	562	222	3	11	77	0	16	0	230	135	45
JAM2	412	758	5146	1135	4409	306	78	3109	101	976	318	178	227	55
JAM3	29	592	6583	568	3885	357	77	2981	377	810	26	457	224	112
JARID2	15	1366	8610	2231	1364	92	50	2306	164	313	117	485	219	93
JARID2-AS1	0	0	16	0	1	0	0	0	0	0	0	0	0	0
JAZF1	141	599	6394	1646	901	288	14	1298	14	222	101	426	394	182
JAZF1-AS1	0	0	277	2	43	1	0	14	0	0	0	0	0	0
JCHAIN	0	19	0	0	0	0	0	0	0	0	0	0	0	0
JDP2	0	65	68	47	23	29	0	3	0	0	36	10	11	0
JHDM1D-AS1	62	7	125	22	44	0	2	48	0	27	1	61	1	2
JKAMP	433	1286	9782	378	4301	487	192	3834	67	1039	210	148	945	62
JMJD1C	949	4237	43346	6077	9857	1237	770	9825	310	2886	343	1869	1677	660
JMJD1C-AS1	0	93	51	51	1	0	0	89	0	100	1	0	0	0
JMJD4	11	183	1841	122	439	82	1	581	3	68	29	12	94	2
JMJD6	101	963	5803	717	2072	120	98	1945	4	185	96	148	227	41
JMJD7	14	499	3625	318	478	27	81	1064	0	179	232	69	175	124
JMJD7-PLA2G4B	0	0	0	0	0	0	0	0	0	0	0	0	0	0
